kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tingkat_pengangguran_terbuka,satuan,tahun
32,JAWA BARAT,3274,KOTA CIREBON,7.66,PERSEN,2023
32,JAWA BARAT,3275,KOTA BEKASI,7.9,PERSEN,2023
32,JAWA BARAT,3276,KOTA DEPOK,6.97,PERSEN,2023
32,JAWA BARAT,3277,KOTA CIMAHI,10.52,PERSEN,2023
32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.55,PERSEN,2023
32,JAWA BARAT,3279,KOTA BANJAR,5.43,PERSEN,2023
32,JAWA BARAT,3201,KABUPATEN BOGOR,7.34,PERSEN,2024
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.11,PERSEN,2024
32,JAWA BARAT,3203,KABUPATEN CIANJUR,5.99,PERSEN,2024
32,JAWA BARAT,3204,KABUPATEN BANDUNG,6.36,PERSEN,2024
32,JAWA BARAT,3205,KABUPATEN GARUT,6.96,PERSEN,2024
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3.74,PERSEN,2024
32,JAWA BARAT,3207,KABUPATEN CIAMIS,3.37,PERSEN,2024
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.78,PERSEN,2024
32,JAWA BARAT,3209,KABUPATEN CIREBON,6.74,PERSEN,2024
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4.01,PERSEN,2024
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6.16,PERSEN,2024
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.25,PERSEN,2024
32,JAWA BARAT,3213,KABUPATEN SUBANG,6.73,PERSEN,2024
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.34,PERSEN,2024
32,JAWA BARAT,3215,KABUPATEN KARAWANG,8.04,PERSEN,2024
32,JAWA BARAT,3216,KABUPATEN BEKASI,8.82,PERSEN,2024
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6.7,PERSEN,2024
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1.58,PERSEN,2024
32,JAWA BARAT,3271,KOTA BOGOR,8.13,PERSEN,2024
32,JAWA BARAT,3272,KOTA SUKABUMI,8.34,PERSEN,2024
32,JAWA BARAT,3273,KOTA BANDUNG,7.4,PERSEN,2024
32,JAWA BARAT,3274,KOTA CIREBON,6.29,PERSEN,2024
32,JAWA BARAT,3275,KOTA BEKASI,7.82,PERSEN,2024
32,JAWA BARAT,3276,KOTA DEPOK,6.27,PERSEN,2024
32,JAWA BARAT,3277,KOTA CIMAHI,8.97,PERSEN,2024
32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.49,PERSEN,2024
32,JAWA BARAT,3279,KOTA BANJAR,5.44,PERSEN,2024
32,JAWA BARAT,3201,KABUPATEN BOGOR,7.69,PERSEN,2025
32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7.23,PERSEN,2025
32,JAWA BARAT,3203,KABUPATEN CIANJUR,6.17,PERSEN,2025
32,JAWA BARAT,3204,KABUPATEN BANDUNG,6.68,PERSEN,2025
32,JAWA BARAT,3205,KABUPATEN GARUT,6.54,PERSEN,2025
32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3.69,PERSEN,2025
32,JAWA BARAT,3207,KABUPATEN CIAMIS,4.08,PERSEN,2025
32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7.59,PERSEN,2025
32,JAWA BARAT,3209,KABUPATEN CIREBON,6.42,PERSEN,2025
32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3.62,PERSEN,2025
32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6.08,PERSEN,2025
32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6.47,PERSEN,2025
32,JAWA BARAT,3213,KABUPATEN SUBANG,6.8,PERSEN,2025
32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,7.54,PERSEN,2025
32,JAWA BARAT,3215,KABUPATEN KARAWANG,7.99,PERSEN,2025
32,JAWA BARAT,3216,KABUPATEN BEKASI,8.78,PERSEN,2025
32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6.6,PERSEN,2025
32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1.91,PERSEN,2025
32,JAWA BARAT,3271,KOTA BOGOR,7.95,PERSEN,2025
32,JAWA BARAT,3272,KOTA SUKABUMI,8.19,PERSEN,2025
32,JAWA BARAT,3273,KOTA BANDUNG,7.22,PERSEN,2025
32,JAWA BARAT,3274,KOTA CIREBON,6.41,PERSEN,2025
32,JAWA BARAT,3275,KOTA BEKASI,7.33,PERSEN,2025
32,JAWA BARAT,3276,KOTA DEPOK,6.52,PERSEN,2025
32,JAWA BARAT,3277,KOTA CIMAHI,8.75,PERSEN,2025
32,JAWA BARAT,3278,KOTA TASIKMALAYA,6.43,PERSEN,2025
32,JAWA BARAT,3279,KOTA BANJAR,5.26,PERSEN,2025
